Disease,Hospital,Location,Contact,Doctor,HospitalDetails,DoctorDetails
Fungal Infection,Tribhuvan University Teaching Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Tribhuvan+University+Teaching+Hospital+Kathmandu),+977 1-4410911,Unknown,Leading tertiary care hospital with modern facilities for diagnostics and antifungal treatments,Dermatology and infectious disease specialists available
Allergy,Nepal Medical College Teaching Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Nepal+Medical+College+Teaching+Hospital+Kathmandu),+977 1-4911008,Dr. Anil Kumar Jha,Multi-specialty hospital with advanced diagnostic tools for allergy testing,Allergist with 10 years experience in allergy management
GERD,Bir Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Bir+Hospital+Kathmandu),01-4221119,Dr. Suman Shrestha,Oldest government hospital in Nepal with 24/7 emergency services,Gastroenterologist with expertise in digestive disorders
Chronic cholestasis,Seti Provincial Hospital,Dhangadhi (https://www.google.com/maps/search/?api=1&query=Seti+Provincial+Hospital+Dhangadhi),+977 91-521133,Dr. Rajesh Kumar,Regional hospital with specialized liver care services,Hepatologist with 12 years experience
Drug Reaction,Patan Hospital,Lalitpur (https://www.google.com/maps/search/?api=1&query=Patan+Hospital+Lalitpur),+977 1-5522295,Dr. Meena Thapa,Tertiary care hospital with a focus on patient safety and adverse reaction management,Clinical pharmacologist with 8 years experience
Peptic ulcer disease,Grande International Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Grande+International+Hospital+Kathmandu),+977 1-5159266,Dr. Sanjay Sharma,Private hospital with advanced endoscopy and gastroenterology services,Gastroenterologist with 15 years experience
AIDS,Teku Hospital (Sukraraj Tropical & Infectious Disease Hospital),Kathmandu (https://www.google.com/maps/search/?api=1&query=Teku+Hospital+(Sukraraj+Tropical+&+Infectious+Disease+Hospital)+Kathmandu),+977 1-4253396,Dr. Anup Bastola,Leading center for infectious diseases with HIV/AIDS treatment programs,Infectious disease specialist with 20 years experience
Diabetes,Bir Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Bir+Hospital+Kathmandu),01-4221119,Dr. Suman Shrestha,Oldest government hospital in Nepal,Endocrinologist 15 years experience in diabetes care.
Diabetes,Grande International Hospital,Lalitpur (https://www.google.com/maps/search/?api=1&query=Grande+International+Hospital+Lalitpur),01-5159266,Dr. Anju Karki,Modern private hospital with advanced diabetes clinic.,Diabetologist 10 years experience specialist in insulin therapy.
Diabetes,Diabetes Care Center,Kathmandu (https://www.google.com/maps/search/?api=1&query=Diabetes+Care+Center+Kathmandu),+977 1-4412345,Dr. Pratiksha Sharma,Specialized diabetes care center with comprehensive management programs,Endocrinologist with 12 years experience
Gastroenteritis,Norvic International Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Norvic+International+Hospital+Kathmandu),+977 1-4258554,Dr. Rina Thapa,Private hospital with comprehensive digestive care and emergency services,Gastroenterologist with 10 years experience
Bronchial Asthma,Mechi Zonal Hospital,Jhapa (https://www.google.com/maps/search/?api=1&query=Mechi+Zonal+Hospital+Jhapa),+977 23-562111,Dr. Krishna Bahadur,Regional hospital with respiratory care facilities,Pulmonologist with 12 years experience
Hypertension,Nepal Heart Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Nepal+Heart+Hospital+Kathmandu),+977 1-4371322,Dr. Bharat Rawat,Specialized cardiovascular hospital with advanced hypertension management,Cardiologist with 18 years experience
Migraine,Neuro Hospital,Bansbari (https://www.google.com/maps/search/?api=1&query=Neuro+Hospital+Bansbari),+977 1-4373850,Dr. Yam Bahadur Roka,Leading neurology center with specialized headache clinics,Neurologist with 15 years experience
Cervical spondylosis,Koshi Zonal Hospital,Biratnagar (https://www.google.com/maps/search/?api=1&query=Koshi+Zonal+Hospital+Biratnagar),+977 21-530111,Dr. Anil Shrestha,Regional hospital with orthopedic and physiotherapy services,Orthopedic surgeon with 10 years experience
Paralysis (brain hemorrhage),Annapurna Neurological Institute,Kathmandu (https://www.google.com/maps/search/?api=1&query=Annapurna+Neurological+Institute+Kathmandu),+977 1-4256656,Dr. Basant Pant,Advanced neurosurgery and rehabilitation center,Neurosurgeon with 25 years experience
Jaundice,Narayani Zonal Hospital,Birgunj (https://www.google.com/maps/search/?api=1&query=Narayani+Zonal+Hospital+Birgunj),+977 51-521111,Dr. Anil Baral,Regional hospital with liver disease treatment facilities,Hepatologist with 10 years experience
Malaria,Teku Hospital (Sukraraj Tropical & Infectious Disease Hospital),Kathmandu (https://www.google.com/maps/search/?api=1&query=Teku+Hospital+(Sukraraj+Tropical+&+Infectious+Disease+Hospital)+Kathmandu),+977 1-4253396,Dr. Anup Bastola,Leading center for tropical and infectious diseases,Infectious disease specialist with 20 years experience
Chicken pox,Bagmati Zonal Hospital,Bhaktapur (https://www.google.com/maps/search/?api=1&query=Bagmati+Zonal+Hospital+Bhaktapur),+977 1-6610781,Unknown,Regional hospital with isolation and treatment facilities,Leading center for tropical and infectious diseases
Dengue,Teku Hospital (Sukraraj Tropical & Infectious Disease Hospital),Kathmandu (https://www.google.com/maps/search/?api=1&query=Teku+Hospital+(Sukraraj+Tropical+&+Infectious+Disease+Hospital)+Kathmandu),+977 1-4253396,Dr. Anup Bastola,Leading center for tropical and infectious diseases,Infectious disease specialist with 20 years experience
Typhoid,Bir Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Bir+Hospital+Kathmandu),01-4221119,Dr. Ramesh Singh,Oldest government hospital with comprehensive infectious disease care,Infectious disease specialist with 12 years experience
Hepatitis A,B.P. Koirala Institute of Health Sciences,Dharan (https://www.google.com/maps/search/?api=1&query=B.P.+Koirala+Institute+of+Health+Sciences+Dharan),+977 25-525555,Dr. Sudhir Mishra,Tertiary care hospital with specialized liver disease treatment,Hepatologist with 15 years experience
Hepatitis B,Liver Foundation Nepal,Kathmandu (https://www.google.com/maps/search/?api=1&query=Liver+Foundation+Nepal+Kathmandu),+977 1-4430678,Dr. Anil Baral,Specialized liver care center with vaccination and treatment programs,Hepatologist with 10 years experience
Hepatitis C,Liver Foundation Nepal,Kathmandu (https://www.google.com/maps/search/?api=1&query=Liver+Foundation+Nepal+Kathmandu),+977 1-4430678,Dr. Anil Baral,Specialized liver care center with antiviral therapy,Hepatologist with 10 years experience
Hepatitis D,B.P. Koirala Institute of Health Sciences,Dharan (https://www.google.com/maps/search/?api=1&query=B.P.+Koirala+Institute+of+Health+Sciences+Dharan),+977 25-525555,Dr. Sudhir Mishra,Tertiary care hospital with advanced liver disease management,Hepatologist with 15 years experience
Hepatitis E,B.P. Koirala Institute of Health Sciences,Dharan (https://www.google.com/maps/search/?api=1&query=B.P.+Koirala+Institute+of+Health+Sciences+Dharan),+977 25-525555,Dr. Sudhir Mishra,Tertiary care hospital with specialized liver disease treatment,Hepatologist with 15 years experience
Alcoholic hepatitis,Liver Foundation Nepal,Kathmandu (https://www.google.com/maps/search/?api=1&query=Liver+Foundation+Nepal+Kathmandu),+977 1-4430678,Dr. Anil Baral,Specialized liver care center with comprehensive treatment programs,Hepatologist with 10 years experience
Tuberculosis,National Tuberculosis Center,Bhaktapur (https://www.google.com/maps/search/?api=1&query=National+Tuberculosis+Center+Bhaktapur),+977 1-6630706,Dr. Kedar Narsingh K.C.,National referral center for tuberculosis diagnosis and treatment,Pulmonologist with 20 years experience
Common Cold,Tribhuvan University Teaching Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Tribhuvan+University+Teaching+Hospital+Kathmandu),+977 1-4410911,Unknown,Leading tertiary care hospital with outpatient services,General physicians available
Pneumonia,Gandaki Zonal Hospital,Pokhara (https://www.google.com/maps/search/?api=1&query=Gandaki+Zonal+Hospital+Pokhara),+977 61-520067,Dr. Laxman Shrestha,Regional hospital with advanced respiratory care,Pulmonologist with 12 years experience
Dimorphic hemmorhoids(piles),Grande International Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Grande+International+Hospital+Kathmandu),+977 1-5159266,Dr. Binod Karki,Private hospital with advanced surgical and proctology services,General surgeon with 15 years experience
Heart attack,Shahid Gangalal National Heart Centre,Kathmandu (https://www.google.com/maps/search/?api=1&query=Shahid+Gangalal+National+Heart+Centre+Kathmandu),+977 1-4371322,Dr. Bharat Rawat,National center for cardiovascular care with 24/7 emergency services,Cardiologist with 18 years experience
Varicose veins,Alka Hospital,Lalitpur (https://www.google.com/maps/search/?api=1&query=Alka+Hospital+Lalitpur),+977 1-5555555,Dr. Suresh Maharjan,Private hospital with advanced vascular surgery services,Vascular surgeon with 10 years experience
Hypothyroidism,Norvic International Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Norvic+International+Hospital+Kathmandu),+977 1-4258554,Dr. Rina Thapa,Private hospital with comprehensive endocrine care,Endocrinologist with 10 years experience
Hyperthyroidism,Norvic International Hospital,Kathmandu (https://www.google.com/maps/search/?api=1&query=Norvic+International+Hospital+Kathmandu),+977 1-4258554,Dr. Rina Thapa,Private hospital with comprehensive endocrine care,Endocrinologist with 10 years experience
